program_id,name,description,tags_text
p_0000,Write A Feature Length Screenplay For Film Or Television,"Write a Full Length Feature Film Script  In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. You�ll learn to break down the creative process into components, and you�ll discover a structured pro",Drama Comedy peering screenwriting film Document Review dialogue creative writing Writing unix shells arts-and-humanities music-and-art
p_0001,Business Strategy: Business Model Canvas Analysis with Miro,"By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data.  This will enable you to identify and map the elements required for new products and services. Furthermore, it is essential for g",Finance business plan persona (user experience) business model canvas Planning Business project Product Development presentation Strategy business business-strategy
p_0002,Silicon Thin Film Solar Cells,"This course consists of a general presentation of solar cells based on silicon thin films.   It is the third MOOC of the photovoltaic series of Ecole polytechnique on Coursera. The general aspects of the photovoltaic field are treated in ""Photovoltaic Solar Energy"". And the detailed description of t",chemistry physics Solar Energy film lambda calculus Electrical Engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering
p_0003,Finance for Managers,"When it comes to numbers, there is always more than meets the eye.  In operational finance, you will learn how to read the �story� that the balance sheet and income statement tells about the company�s operations. The insights you gain from this �financial story� will then become a tool for short-ter",accounts receivable dupont analysis analysis Accounting Finance Operations Management Leadership and Management balance sheet inventory Financial Analysis business finance
p_0004,Retrieve Data using Single-Table SQL Queries,In this course you�ll learn how to effectively retrieve data from a relational database table using the SQL language.   We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone ,Data Analysis select (sql) database management systems online shopping table (database) data retrieval Databases web page numbers (spreadsheet) SQL information-technology data-management
p_0005,Building Test Automation Framework using Selenium and TestNG,Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework.  Test automation frameworks are a set of guidelines or rules for writing test cases.  They can reduce maintenance costs and testing efforts and will provide a higher return on ,maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development
p_0006,Doing Business in China Capstone,"Doing Business in China Capstone enables you to apply your skills to real business challenges. You�ll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products.  In this capstone, you are the business consultant working for a well-established �HON ",marketing plan Planning Marketing consumption (economics) wait (system call) business plan strategic planning audience project Writing business business-strategy
p_0007,"Programming Languages, Part A","This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language �fits together� to ",inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language ?-recursive function Computer Programming computer-science software-development
p_0008,The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,"This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. While the course has been developed with North American culture in mind, we do appreciate that in other parts of the world, the nature of the roles and res",Planning Peer Review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management
p_0009,Agile Projects:  Developing Tasks with Taiga,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks.   Thi",project modeling Project Management agile management user story presentation Product Development Leadership and Management documents Web Design business business-strategy
p_0010,Esports Management Capstone Project,We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations. You will develop a plan for recruiting funding resources for a hypothetical Espo,Average Planning Leadership and Management Peer Review Strategy peering evaluation Recruiting project interest business leadership-and-management
p_0011,Hacking and Patching,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn ",Security Design design pattern web application internet security SQL select (sql) metasploit project penetration test security password cracking computer-science computer-security-and-networks
p_0012,Business Statistics and Analysis Capstone,"The Business Statistics and Analysis Capstone is an opportunity to apply various skills developed across the four courses in the specialization to a real life data. The Capstone, in collaboration with an industry partner uses publicly available �Housing Data� to pose various questions typically a cl",Statistical Analysis Microsoft Excel business analytics Regression Analysis General Statistics Data Analysis Regression analytics analysis Business Analysis data-science data-analysis
p_0013,Grab Data Fast with Vertical and Horizontal LOOKUP,Data can come our way in multiple forms and from multiple file types. It�s likely that at some point you will be faced with a data set that includes categories and subcategories under one heading or under headings with nested subheadings. Cutting through the file structure can seem like a time-consu,evaluation software presentation lookup table Spreadsheet Software Benefits spreadsheet project index fasting business business-essentials
p_0014,Global Health: An Interdisciplinary Overview,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global ",sustainability research and development Communication health system Leadership and Management health research global disease drug development public health life-sciences public-health
p_0015,Python Programming Essentials,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer prog",semantics Python Programming coding conventions codeskulptor Problem Solving syntax Computer Programming programming style python syntax and semantics euler's totient function computer-science software-development
